,0,1,2,3,4,5,6,7,8,9
0,0.99823725,1.8651355e-06,0.000273098,1.6106229e-05,3.915023e-06,9.4202725e-05,0.0001755679,0.0011919652,3.8776643e-06,2.221029e-06
1,3.8861042e-05,0.9825044,0.0078656515,0.00036890412,0.00089768437,5.8382026e-05,2.7567498e-06,0.007227998,0.00046061966,0.0005747972
2,6.3912325e-05,6.0256357e-06,0.9977145,0.0003014748,6.1565726e-05,0.00026494486,2.2193283e-06,0.0013525808,0.00023169674,1.006402e-06
3,2.4863237e-08,7.8118256e-10,8.149403e-08,0.9998386,2.6872845e-05,2.0154334e-09,1.228271e-07,0.00013412008,4.087068e-08,2.1790504e-08
4,1.230856e-05,2.2700566e-05,0.000103105114,0.0064193476,0.9923374,8.337408e-06,1.0573046e-05,0.00092707033,0.00015238629,6.828366e-06
5,0.0029174096,1.0830858e-05,0.0043767323,6.889428e-05,2.0961834e-05,0.98872,0.00010431895,0.0037038443,5.170263e-05,2.5223815e-05
6,3.6931929e-06,3.3519207e-09,1.4423914e-09,9.254121e-09,6.4525483e-09,7.861496e-06,0.9986702,0.0013181114,9.06683e-08,5.5021953e-08
7,1.557189e-05,6.4062083e-06,3.915596e-06,1.3152661e-05,2.8562775e-07,1.031567e-05,0.00039375358,0.9995484,5.8139863e-06,2.5370834e-06
8,1.8751686e-06,0.0020685382,0.0005602901,1.8399074e-05,0.00026864343,4.6722894e-06,1.3231689e-06,0.0013602033,0.9953962,0.00031976946
9,8.076851e-06,5.474304e-06,4.8985257e-08,1.4444005e-06,1.0636141e-06,5.775481e-06,7.300422e-05,0.0021176685,7.108873e-05,0.9977163
